table_name,"column_name","data_type"
categories,"id","integer"
categories,"title","character varying"
categories,"slug","character varying"
categories,"url","text"
categories,"discount_threshold","numeric"
categories,"created_at","timestamp without time zone"
logs,"id","integer"
logs,"category_slug","character varying"
logs,"message","text"
logs,"type","character varying"
logs,"created_at","timestamp with time zone"
price_history,"id","integer"
price_history,"product_id","integer"
price_history,"price","numeric"
price_history,"created_at","timestamp with time zone"
prices,"id","integer"
prices,"product_id","integer"
prices,"price","numeric"
prices,"checked_at","timestamp without time zone"
products,"id","integer"
products,"slug","character varying"
products,"title","text"
products,"link","text"
products,"price","numeric"
products,"created_at","timestamp without time zone"
products,"status","character varying"
products,"lowest_price","numeric"
products,"product_code","character varying"
